sample, feature, aX, aY, aZ, gX, gY, gZ
49, RMS, 0.0618,0.2617,0.9739,0.9460,1.4995,6.1949
49, Min, -0.0667,-0.2660,-0.9764,0.6104,0.9155,5.8594
49, Max, -0.0549,-0.2571,-0.9714,1.4648,2.0142,6.4087
49, PSD, 3.3265,59.7819,828.4105,737.3649,1965.5841,33280.4844
50, Mean, -0.0616,-0.2617,-0.9741,0.9494,1.5039,6.2022
50, Std, 0.0010,0.0009,0.0012,0.1360,0.1402,0.0968
50, RMS, 0.0616,0.2617,0.9741,0.9591,1.5105,6.2030
50, Min, -0.0637,-0.2634,-0.9779,0.5493,0.9155,5.9204
50, Max, -0.0593,-0.2593,-0.9696,1.3428,1.8921,6.4087
50, PSD, 3.3185,59.7661,828.6618,765.6431,1915.7197,33813.9375
51, Mean, -0.0294,0.9825,-0.0350,19.5551,-39.4602,24.9691
51, Std, 0.1704,0.1314,0.1778,28.7512,66.6268,40.2276
51, RMS, 0.1729,0.9912,0.1812,34.7712,77.4354,47.3468
51, Min, -0.3682,0.6307,-0.5073,-22.1558,-226.5625,-51.3916
51, Max, 0.3822,1.2693,0.2911,92.9565,26.6724,120.4834
51, PSD, 63.2433,859.7047,15.5615,475229.0625,3173957.2500,1931074.1250
52, Mean, -0.0035,0.9914,-0.0187,-1.9655,-2.8601,1.0600
52, Std, 0.0334,0.0134,0.0377,9.0305,8.3614,6.2850
52, RMS, 0.0336,0.9915,0.0420,9.2419,8.8370,6.3738
52, Min, -0.1501,0.9324,-0.0781,-36.8652,-32.6538,-17.2729
52, Max, 0.0431,1.0298,0.1168,19.8364,19.7144,8.3618
52, PSD, 0.1513,853.3914,1.2105,18630.3828,22382.8477,40689.6523
53, Mean, 0.1148,0.9815,0.0162,-0.6943,0.3672,5.0273
53, Std, 0.0570,0.0255,0.0586,10.2210,16.3958,14.8397
53, RMS, 0.1282,0.9818,0.0608,10.2446,16.4000,15.6681
53, Min, -0.0135,0.9060,-0.1145,-22.4609,-43.3350,-23.0103
53, Max, 0.2537,1.0947,0.1398,20.3857,26.4893,45.5933
53, PSD, 31.3199,809.6004,2.5841,121253.2266,643759.1875,315547.1875
54, Mean, 0.0569,0.9866,-0.0181,2.7843,3.5410,6.3953
54, Std, 0.0583,0.0518,0.0627,8.7682,14.6438,9.2897
54, RMS, 0.0814,0.9880,0.0653,9.1996,15.0658,11.2782
54, Min, -0.0544,0.8784,-0.2008,-23.0713,-39.1235,-15.2588
54, Max, 0.2075,1.1355,0.1178,17.4561,34.4238,23.9258
54, PSD, 2.1691,852.7599,3.3051,104380.3438,452348.3750,165883.3594
55, Mean, 0.1257,0.9776,-0.1075,1.0328,0.7038,4.3778
55, Std, 0.0161,0.0118,0.0242,2.3827,2.7952,2.2192
55, RMS, 0.1267,0.9777,0.1102,2.5969,2.8825,4.9082
55, Min, 0.0795,0.9425,-0.1639,-6.5308,-7.2632,-1.4648
55, Max, 0.1511,1.0121,-0.0389,5.4321,11.2305,7.6294
55, PSD, 16.3403,832.5942,10.8392,12379.1182,4729.9482,27083.6836
56, Mean, 0.1261,0.9778,-0.0852,1.3938,0.6580,7.2551
56, Std, 0.0341,0.0205,0.0376,3.9243,2.9531,3.3969
56, RMS, 0.1306,0.9780,0.0932,4.1644,3.0255,8.0109
56, Min, 0.0499,0.9185,-0.1862,-9.2163,-5.2490,0.3052
56, Max, 0.2052,1.0212,0.0189,9.3384,7.9956,17.8833
56, PSD, 9.4216,828.5317,8.8059,16705.7344,12152.9424,30911.7773
57, Mean, 0.0804,0.9860,-0.0548,1.1997,-0.3157,4.9248
57, Std, 0.0205,0.0113,0.0135,1.0783,1.6888,2.0535
57, RMS, 0.0830,0.9861,0.0564,1.6131,1.7180,5.3358
57, Min, 0.0266,0.9597,-0.0890,-1.3428,-5.1880,1.2817
57, Max, 0.1217,1.0049,-0.0277,4.0283,2.7466,9.0332
57, PSD, 5.6951,848.4168,2.7686,4060.1848,4411.7573,17872.5937
58, Mean, 0.0882,0.9852,-0.0447,0.8759,1.6332,6.1321
58, Std, 0.0058,0.0026,0.0085,0.8652,0.7995,0.5039
58, RMS, 0.0884,0.9852,0.0455,1.2312,1.8184,6.1528
58, Min, 0.0743,0.9792,-0.0663,-1.0986,-0.7324,5.0049
58, Max, 0.1033,0.9902,-0.0227,3.7231,3.6011,7.1411
58, PSD, 6.6778,849.0919,1.9019,1090.2281,2151.7300,36078.2305
59, Mean, 0.0937,0.9842,-0.0521,1.2913,0.8035,6.9861
59, Std, 0.0169,0.0116,0.0151,1.3629,0.8490,1.6501
59, RMS, 0.0952,0.9843,0.0542,1.8774,1.1689,7.1784
59, Min, 0.0497,0.9576,-0.0809,-1.5869,-1.7700,4.6387
59, Max, 0.1327,1.0153,-0.0135,6.7749,3.1128,12.5122
59, PSD, 6.6239,849.9175,1.7390,3128.2566,443.2034,47471.3828
60, Mean, 0.0819,0.9861,-0.0264,1.8516,2.4943,6.6900
60, Std, 0.0276,0.0133,0.0237,2.9256,1.6665,3.1900
60, RMS, 0.0864,0.9862,0.0355,3.4623,2.9998,7.4116
60, Min, 0.0305,0.9592,-0.1027,-3.4180,-1.9531,-0.4883
60, Max, 0.1431,1.0159,0.0360,8.2397,5.3711,13.3667
60, PSD, 6.5120,870.0578,0.4959,14589.4355,6523.7705,91431.3203
61, Mean, 0.0698,0.9868,-0.0373,1.2221,1.8439,6.1789
61, Std, 0.0070,0.0044,0.0080,0.6944,0.7251,0.7892
61, RMS, 0.0701,0.9868,0.0381,1.4056,1.9814,6.2291
61, Min, 0.0526,0.9764,-0.0690,-0.9766,0.4272,4.9438
61, Max, 0.0924,0.9957,-0.0228,3.1738,4.0283,8.1177
61, PSD, 3.9087,851.7092,1.0343,1265.1586,1806.2629,26942.4375
62, Mean, 0.0701,0.9872,-0.0380,0.9623,1.4777,5.8517
62, Std, 0.0081,0.0027,0.0062,0.4735,0.5159,0.5467
