sample, feature, aX, aY, aZ, gX, gY, gZ
54, Mean, -0.2454,0.8818,0.2304,-4.7836,13.3691,7.2951
54, Std, 0.0818,0.1964,0.2889,13.1535,37.8849,38.9286
54, RMS, 0.2587,0.9034,0.3695,13.9963,40.1746,39.6063
54, Min, -0.3842,0.5839,-0.1687,-25.0244,-63.0493,-50.2319
54, Max, -0.0735,1.2375,0.7217,25.3906,66.2842,63.9648
54, PSD, 103.6444,279.7978,149.8798,419728.8437,3826671.7500,3277673.0000
55, Mean, -0.1692,0.8694,0.2625,-7.5498,9.5015,0.0076
55, Std, 0.1423,0.3845,0.4113,21.0017,57.6519,46.6899
55, RMS, 0.2211,0.9506,0.4879,22.3175,58.4297,46.6899
55, Min, -0.3605,0.0977,-0.6652,-51.5137,-99.7314,-72.6929
55, Max, 0.2308,1.5206,0.9124,28.0151,104.1870,84.4727
55, PSD, 74.3224,1577.9113,429.3131,987530.5000,5972595.5000,3573143.5000
56, Mean, -0.0622,1.0081,0.2588,-25.1465,-20.2904,-5.8169
56, Std, 0.3195,0.4931,0.7636,55.4196,103.1062,63.1753
56, RMS, 0.3255,1.1223,0.8062,60.8579,105.0837,63.4425
56, Min, -0.8019,0.1394,-0.7870,-116.9434,-188.5986,-99.3652
56, Max, 0.3613,1.7078,1.6976,75.1343,152.2827,98.2056
56, PSD, 127.0456,471.3137,1227.9554,5132528.0000,18223206.0000,5289798.5000
57, Mean, -0.0579,1.0835,0.3157,-20.1135,-22.1982,-8.5416
57, Std, 0.2935,0.5012,0.7830,46.7857,135.9393,78.2964
57, RMS, 0.2992,1.1938,0.8443,50.9260,137.7397,78.7609
57, Min, -0.5242,0.2122,-0.9655,-106.6895,-213.0737,-126.1597
57, Max, 0.5026,1.9930,1.5785,58.2275,205.6274,98.6328
57, PSD, 151.0451,428.8393,1016.8143,2880173.7500,31795076.0000,8679322.0000
58, Mean, -0.0276,0.8474,0.4057,-7.0610,42.1505,-10.7532
58, Std, 0.2192,0.4631,0.6813,37.0068,119.7660,71.0737
58, RMS, 0.2210,0.9657,0.7930,37.6744,126.9668,71.8825
58, Min, -0.4391,0.1646,-0.6827,-88.6841,-175.6592,-124.9390
58, Max, 0.5027,1.5712,1.3966,55.2368,217.8955,101.3184
58, PSD, 50.8926,1857.9791,494.3487,3285839.2500,21474384.0000,9463440.0000
59, Mean, -0.2165,0.9131,0.1772,3.7150,11.9801,-1.3156
59, Std, 0.0613,0.2303,0.2517,18.4750,47.0841,36.7369
59, RMS, 0.2250,0.9417,0.3078,18.8449,48.5843,36.7604
59, Min, -0.3374,0.4850,-0.3464,-32.7759,-65.7959,-69.8242
59, Max, -0.0602,1.2677,0.6560,52.0630,73.3032,61.3403
59, PSD, 53.4260,756.1872,225.5357,132666.4844,5241684.0000,2828497.0000
60, Mean, -0.4038,0.8715,0.0877,5.1446,7.0271,17.9873
60, Std, 0.2232,0.2118,0.2842,26.8151,46.6770,34.1423
60, RMS, 0.4614,0.8969,0.2975,27.3041,47.2030,38.5906
60, Min, -1.7294,0.4885,-0.4900,-58.1055,-58.1665,-54.8706
60, Max, -0.0105,1.5962,0.7390,52.0020,130.5542,90.5762
60, PSD, 179.9322,820.2762,92.4825,791491.8125,5100929.0000,769734.2500
61, Mean, -0.0087,0.9819,0.0653,8.3137,-4.1780,20.8774
