sample, feature, aX, aY, aZ, gX, gY, gZ
52, Std, 0.0846,0.0848,0.5174,15.2515,54.5874,10.2868
52, RMS, 0.1062,0.9660,0.5360,15.5064,54.7864,11.9837
52, Min, -0.1163,0.8080,-0.8354,-35.6445,-89.2944,-16.5405
52, Max, 0.2389,1.1259,0.7828,26.9775,82.2144,26.7334
52, PSD, 15.1714,943.9124,509.4972,344387.8437,7595206.0000,111665.8984
53, Mean, 0.0963,0.9513,-0.1499,-1.3480,2.8949,2.7213
53, Std, 0.1012,0.0645,0.6335,26.0060,69.0761,15.0710
53, RMS, 0.1397,0.9535,0.6510,26.0409,69.1368,15.3147
53, Min, -0.1235,0.8243,-1.0966,-45.2271,-116.4551,-26.0010
53, Max, 0.2357,1.0747,0.8479,40.7104,92.6514,32.8369
53, PSD, 22.7670,687.5801,751.0403,833547.7500,10945913.0000,549549.3125
54, Mean, 0.0444,0.9659,0.1327,2.0547,5.0979,8.6622
54, Std, 0.0713,0.0859,0.5058,10.1044,59.7191,14.0987
54, RMS, 0.0840,0.9697,0.5229,10.3112,59.9363,16.5472
54, Min, -0.1028,0.7817,-0.8362,-25.7568,-87.2192,-18.5547
54, Max, 0.2374,1.1062,0.7769,24.6582,87.7686,32.3486
54, PSD, 9.2198,969.6293,481.0740,122177.5781,9054033.0000,259100.4844
55, Mean, 0.0368,0.9853,-0.0482,3.1776,23.3512,7.4525
55, Std, 0.0926,0.0719,0.6176,16.2081,78.6770,13.7323
55, RMS, 0.0996,0.9880,0.6195,16.5167,82.0692,15.6242
55, Min, -0.1080,0.8218,-0.9413,-32.8369,-121.5820,-20.0195
55, Max, 0.1981,1.1415,1.0249,36.2549,123.0469,41.5039
55, PSD, 7.4713,739.4415,637.6621,117541.4219,10901274.0000,302606.3437
56, Mean, 0.1019,0.9724,0.1220,5.6763,21.3695,6.7973
56, Std, 0.0790,0.0735,0.6569,18.1878,71.7771,12.1876
56, RMS, 0.1289,0.9752,0.6682,19.0530,74.8906,13.9550
56, Min, -0.0433,0.7876,-1.0681,-39.9780,-110.9009,-19.2261
56, Max, 0.2749,1.1309,1.0304,34.9731,118.1641,32.0435
56, PSD, 12.1411,821.5607,737.4995,445210.1562,9608598.0000,165360.9219
57, Mean, 0.0712,0.9827,0.0930,4.5586,23.3641,7.6513
57, Std, 0.0699,0.0851,0.5787,15.4000,73.5148,14.2123
57, RMS, 0.0998,0.9863,0.5861,16.0606,77.1382,16.1410
57, Min, -0.0532,0.8256,-1.0007,-35.4004,-113.7695,-28.0151
57, Max, 0.2577,1.1654,0.9008,29.6021,117.2485,34.7900
57, PSD, 4.8208,835.7836,640.3292,317477.4062,9722596.0000,204905.7500
58, Mean, 0.0848,0.9822,0.0547,3.3240,21.8024,4.3387
58, Std, 0.0814,0.1339,0.6479,20.9963,77.6003,19.0692
58, RMS, 0.1176,0.9913,0.6502,21.2578,80.6049,19.5565
58, Min, -0.0470,0.6509,-1.1394,-55.2368,-105.5908,-29.4800
58, Max, 0.2719,1.1729,0.9674,38.8184,115.6616,41.3818
58, PSD, 3.0926,740.2724,821.5295,372222.5937,11373178.0000,607866.3125
59, Mean, 0.0630,0.9908,-0.0152,1.6356,15.9240,6.3071
59, Std, 0.0608,0.1095,0.6365,21.6614,74.3992,20.2266
59, RMS, 0.0875,0.9969,0.6367,21.7230,76.0843,21.1872
59, Min, -0.0575,0.7198,-1.0248,-59.5703,-100.0977,-22.7051
59, Max, 0.2367,1.1309,0.9976,37.0483,114.2578,40.4663
59, PSD, 2.7806,652.6922,825.8972,389365.0312,10105153.0000,744921.2500
60, Mean, 0.0104,0.9770,-0.0261,2.2945,-2.5792,1.8430
60, Std, 0.0692,0.1197,0.6315,21.4330,70.2842,21.7709
60, RMS, 0.0699,0.9843,0.6320,21.5555,70.3315,21.8488
60, Min, -0.1176,0.6847,-0.9849,-46.1426,-113.2813,-36.2549
60, Max, 0.1884,1.1292,1.0388,31.6162,97.5952,40.0391
60, PSD, 7.4368,559.9390,936.3684,749522.8750,11291285.0000,1256215.3750
61, Mean, -0.0144,0.9761,0.1364,3.9167,8.7333,6.9928
61, Std, 0.0683,0.0851,0.3791,11.4364,50.5432,13.6663
61, RMS, 0.0698,0.9798,0.4029,12.0885,51.2921,15.3514
